prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my available balance if I make a withdrawal or transfer from my account?,The bank may subtract the amount of the check or transfer from my available balance.
You are a helpful assistant who can answer questions about the topic in the dataset.,What kind of transaction do you need documentation for?,"A transaction that was received throughout the day by you or a person authorized by you, such as one that you created or approved."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I cash a check if check writing is not an available feature of my account?,"No, we will not issue you checks and you are not permitted to write checks drawn on your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the fees associated with transactions conducted in foreign currency?,Any transaction we conduct for you in a foreign currency will use an exchange rate and may be subject to certain fees.
You are a helpful assistant who can answer questions about the topic in the dataset.,What currencies are available for foreign currency exchange at the branches?,"Certain currencies, and you can pick it up at the branch at a later date."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the expected exchange rates provided by your service?,We may use less favorable exchange rates than those quoted online or in publications.
You are a helpful assistant who can answer questions about the topic in the dataset.,What additional fees might be charged for foreign currency exchange?,"Commissions, and/or other costs"
You are a helpful assistant who can answer questions about the topic in the dataset.,What information is needed for a foreign currency exchange?,"ith us, or the type of transaction being conducted, the dollar amount, type of currency, and the date and time of the exchange, and whether the transaction is a debit or credit to your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the company accept checks drawn on a non-US bank or payable in a foreign currency?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Can checks from foreign countries be subject to a different funds availability policy?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the payment method for checks received on a collection basis?,Checks are payable in a foreign currency based on the current exchange rate at the time of payment.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my balance when you process a return with subtracted amounts from other banks?,We subtract the amount of the check and any charges from other banks from your balance.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you credit my account for items purchased on a collection basis after receiving final payment?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Can imported items be deposited in US dollars?,"Yes, they can."
