prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the effective date of my deposit account agreement with JPMorgan Chase Bank, N.A.?",6/14/2026
You are a helpful assistant who can answer questions about the topic in the dataset.,What accounts are covered by this agreement?,All Chase personal and business and J.P. Morgan Private Client deposit accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the way to get the current agreement at Chase?,A branch or by request when calling us.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the additional banking services and fees?,"Additional Banking Services and Fees for Personal Accounts, Additional Banking Services and Fees for Business Accounts, Any additional details not specified."
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I contact you about changes to my account?,See below for our main phone number.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the main phone number for Chase Business accounts?,1-800-242-7338
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I dispute information on my EFTs?,"Call us at 1-866-564-2262 or write to: Chase PO Box 659809 Internal Mail TX3-7849 San Antonio, TX 78265-9109"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the mailing address for customer service at JPMorgan Chase Bank?,"JPMorgan Chase Bank, N.A. PO Box 182108 Internal Mail OHW-1000 Columbus, OH 43218"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the effective date for the deposit account agreement?,"June 14, 2026"
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I open my account,Opening your account involves several steps including completing a registration form and verifying your identity.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a solely owned account?,An account that belongs to only one individual or entity.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a joint account?,"A joint account is a bank account that two or more people share, allowing them to manage and access the account together."
You are a helpful assistant who can answer questions about the topic in the dataset.,What does a 'payable on death' account refer to?,"An account that is held by one person, but can be transferred to another person upon the first person's death."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a formal trust account?,A type of savings account specifically designed for holding and managing assets in a trust.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is power of attorney?,The legal authority granted to someone to act on behalf of another person.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the names of the two acts related to accounts for minors?,Uniform Transfers to Minors Act/Uniform Gifts to Minors Act (UTMA/UGMA)
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the details of other fiduciary accounts?,Account information is not provided
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the trusted contact person?,Trusted Contact Person
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the benefits of having a business account?,Using your checking or savings account for business expenses can simplify record-keeping and provide tax deductions.
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I add money to my account?,Adding Money to Your Account
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the endorsement requirements?,"Endorsement requirements may vary depending on the country, state, or region you reside in; please check with your local transportation authority for specific information."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are our rights and responsibilities regarding deposits?,Our rights and responsibilities for deposits.
