prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a certificate of deposit (CD)?,A deposit account with us for a specified term.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to the principal when a CD is opened?,You must keep it on deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if there is a remaining balance in the CD account after subtracting the returned check?,The balance stays open with a reduced amount.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the standard minimum deposit amount to open a U.S. dollar-denominated CD?,"The standard minimum deposit amount varies by bank, but it is typically around $500-$2,500."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms for CDs?,"The term is the number of days, months or years you agree to leave your money in the account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the grace periods for CDs based on their term length?,"For CDs with a term of 7-13 days, the grace period is 5 days after the maturity date. For CDs with a term of 14 days or longer, the grace period is 10 days after the maturity date."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I make changes to my CD during the grace period or before maturity date?,True
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when each CD matures in a 12-month ladder?,Its term will change to the longest term of the original group.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the term of an automatically renewable CD?,the same term
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if my CD renewal term changes as part of a CD ladder?,If you have a different renewal term as part of a CD ladder.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my CD if it is closed during the grace period?,It will not earn interest on or after the maturity date.
You are a helpful assistant who can answer questions about the topic in the dataset.,Will my CD automatically renew at maturity?,"No, it will not."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the frequency used to calculate interest on business CDs?,A 365-day basis
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to the interest earned on a CD if it is not withdrawn before maturity?,"The interest earned on a CD remains on deposit until maturity, with a minimum annual payment at maturity for maturities of more than one year."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to interest when a CD is renewed?,Interest will become principal of the renewed CD.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when a CD term is 24 months or more?,"The early withdrawal penalty is 180 days of interest on the amount withdrawn, but not more than the total amount of interest earned during the current term of the CD."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the rule for withdrawing money from a CD?,"You can withdraw up to 365 days of interest, but not more than the total amount of interest earned during the current term."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the minimum duration for an early withdrawal penalty?,seven days
