prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to a joint account with no right of survivorship when one of its owners dies?,"The deceased owner's interest passes to the owner's estate, and either the surviving joint owners can inherit it, or it may be distributed according to state intestacy laws."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the implications of designating an account as ""Tenants in common"" or ""JTIC""?",It means that the account does not have rights of survivorship.
You are a helpful assistant who can answer questions about the topic in the dataset.,When does a joint account not have rights of survivorship?,unless you clearly indicate on the signature card and in the account title that the account is created without these rights.
You are a helpful assistant who can answer questions about the topic in the dataset.,Do accounts in Louisiana or Texas have rights of survivorship without explicit indication?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to a joint account with a 'payable on death' or 'in trust for' designation after the death of the last surviving owner?,"The account is payable to the beneficiary upon death, and includes a right of survivorship."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is raph?,Below
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to the funds in a marital account after one owner passes away?,"The survivor receives 50% of the funds, while the estate gets the remaining 50%."
You are a helpful assistant who can answer questions about the topic in the dataset.,What determines the respective interests of the owner and the POD beneficiary?,The interest determining factor lies with the owner.
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the condition for a Florida joint account to be considered a ""tenants by the entirety"" account?","The account must be owned solely by two spouses, unless indicated otherwise on the signature card."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the effect of an 'entirety' account in a marriage on debt collection?,"The owners of an ""entirety"" account are jointly and severally liable for the debts, and creditors may assert their right to collect from either spouse."
You are a helpful assistant who can answer questions about the topic in the dataset.,What needs to be done in order for an account payable on death (POD) to be paid to a beneficiary after death?,"Stablish your account payable on death to one or more beneficiaries, the account is a “POD” account. If we receive proof you’ve died, we may pay the balance of the account to the surviving beneficiary or beneficiaries you designated. We may determine"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the methods of distributing payments among multiple beneficiaries according to the company's records?,Payments are divided equally unless specified otherwise by signature card(s) and deposit system records.
You are a helpful assistant who can answer questions about the topic in the dataset.,Do you pay post-death deposits?,We will have no liability for our determination or release of funds to a beneficiary or beneficiaries pursuant to this provision.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is considered a valid way to establish an account in trust?,You can establish your account as in trust for (ITF) or as trustee for one or more beneficiaries without presenting formal trust documents.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can multiple beneficiaries be paid from an account?,"Yes, they can."
You are a helpful assistant who can answer questions about the topic in the dataset.,What documents are needed to receive post-death payments from the estate?,Estate documents
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the difference between a convenience account and having sole ownership?,"You have sole ownership, but can also add an additional signer to write checks or authorize other transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of signing a power of attorney?,A power of attorney is a document that authorizes someone else to act on your behalf.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the limitations on modifying my account settings?,"You can do anything you could do regarding the account, including withdrawing or spending all of the money in the account."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is the signature on the power of attorney authentic?,"We may follow or refuse to follow the agent’s instructions at any time, including if we suspect fraud or abuse on your account,"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the bank refuse to allow an agent to become a joint owner or beneficiary of an account?,"Yes, but the bank will not be liable for such refusal."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms for a UTMA/UGMA account?,The designated minor is the owner of the funds.
You are a helpful assistant who can answer questions about the topic in the dataset.,What rights do minors have over an UTMA/UGMA account?,"unds in the account; including any funds transferred into the account are irrevocably owned by the minor, UTMA/UGMA accounts can’t be pledged as collateral for a personal loan to you, nor can checks be cashed against it."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the responsibility of a successor custodian of an account under a state's UTMA/UGMA?,You will only use the account for the exclusive use and benefit of the minor.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my responsibilities as a custodian of a UGMA/UTMA account?,You must transfer assets to the beneficiary at the age when the UTMA/UGMA terminates and consult with a legal or tax advisor regarding the governing state.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a user be penalized for not transferring funds to a beneficiary?,"Yes, at our sole discretion."
You are a helpful assistant who can answer questions about the topic in the dataset.,Does the service provider have liability for following any instructions related to the account?,No
